"","x"
"1",61.2139953185999
"2",45.9371443366992
"3",37.0751184353387
"4",60.5819167030345
"5",45.0743134452416
"6",36.8241097733609
"7",53.1265873836708
"8",28.5409524481047
"9",52.6454504190154
"10",66.7454195350209
"11",62.0116329766131
"12",70.4484753860624
"13",37.5341422948546
"14",63.4438651760192
"15",42.2235787792928
"16",35.6700040312041
"17",56.4426888639884
"18",55.6270671672218
"19",47.4790750084086
"20",52.3675102262707
"21",49.2007437471884
"22",52.2513859495597
"23",51.6543123125633
"24",33.2714419330793
"25",54.0192931100792
"26",39.3378181911355
"27",54.4935627752472
"28",49.6673563444931
"29",34.7624393168538
"30",37.5195560991569
"31",44.0938781789605
"32",50.6496016173471
"33",46.6283184008867
"34",56.9132456314233
"35",55.6572568880514
"36",34.0496035092166
"37",55.0502906134872
"38",47.9530411091517
"39",52.2424538141464
"40",31.145519999961
"41",56.2486740677234
"42",53.5793690903549
"43",45.0673890970037
"44",58.6002611221263
"45",54.4588138398822
"46",35.3845598280617
"47",41.6565553952074
"48",52.8024968163445
"49",34.2341920051007
"50",53.0430446888749
"51",37.2561378108124
"52",47.5680645289002
"53",48.2427589636766
"54",43.4682820485104
"55",57.7860340744715
"56",60.9822973337039
"57",46.2381946468799
"58",66.0624740304471
"59",33.4786207772279
"60",62.1480109097555
"61",40.3642852138099
"62",52.3677243891839
"63",72.253134106635
"64",60.551618004331
"65",34.1746849119011
"66",69.7057620023494
"67",41.1649748685708
"68",44.3278609131945
"69",60.7542685304545
"70",33.1186974596127
"71",48.2661520229666
"72",32.2164446522355
"73",69.857618351999
"74",41.7908001535961
"75",27.7385939918328
"76",43.3568626950481
"77",35.2785402754636
"78",57.6233868622053
"79",61.5972178075959
"80",59.6837623987351
"81",39.0897068091246
"82",43.2435006199045
"83",65.5545851862512
"84",46.0045823018961
"85",49.2895743102904
"86",29.1884761311381
"87",43.7790005891283
"88",38.2438375584016
"89",37.2831198420442
"90",46.7111291215289
"91",52.3005764810286
"92",45.0018100462099
"93",41.4300220628589
"94",55.2317021239647
"95",62.0487045329844
"96",54.1781012685127
"97",37.3413734327763
"98",41.4884084639536
"99",74.6390065379486
"100",47.7910100830745
"101",56.0953067005391
"102",50.6527732455728
"103",59.6803970577475
"104",66.1625226740229
"105",50.9972425474264
"106",53.599314532148
"107",55.1270445274312
"108",52.543709819325
"109",61.4385314580263
"110",38.0588720979385
"111",33.8237793040717
"112",40.2210536504915
"113",53.2530480007915
"114",48.7278854908062
"115",68.8100594329017
"116",48.1321159476856
"117",63.3019332961597
"118",57.7728142462586
"119",39.7245075470415
"120",45.9000192821198
"121",39.6629890730212
"122",55.9245685927055
"123",58.7878021114402
"124",50.1935994870006
"125",51.7372372838258
"126",39.4560097900415
"127",60.6404022930861
"128",51.4155001155215
"129",51.8099754866328
"130",41.909698544265
"131",32.1732607463548
"132",44.2686778289883
"133",57.3682996392584
"134",52.864764039703
"135",55.9739815482431
"136",35.8498093700866
"137",52.9110816567468
"138",53.9734184404504
"139",61.8742073776769
"140",44.7404539001714
"141",53.7218572553198
"142",38.9052690526516
"143",56.0969615775336
"144",43.627764877808
"145",45.2983662511266
"146",51.9640117202391
"147",39.2285079686226
"148",52.6250965125958
"149",64.0713027967105
"150",52.9738474936584
"151",48.1821273067711
"152",52.7174566524276
"153",42.5935115159545
"154",49.2035203803679
"155",60.6076467168861
"156",45.9921031781656
"157",52.7035649359517
"158",41.880806711403
"159",54.0297519610484
"160",69.6010367612824
"161",37.6263947280648
"162",48.1414259049409
"163",45.5809490632973
"164",52.567101107982
"165",46.4595293811919
"166",30.7934319992412
"167",47.3221515863555
"168",53.6931865139727
"169",41.7410964138218
"170",62.6187887883652
"171",52.4753820929068
"172",40.5705757621574
"173",41.3674767555122
"174",50.2223373391918
"175",43.9674626202868
"176",47.8290900479883
"177",45.7111675226726
"178",27.3486672811853
"179",38.1984794477396
"180",57.2474959888059
"181",59.4045886843861
"182",55.2517963583082
"183",69.1984558860071
"184",53.4304242662859
"185",51.749694671497
"186",22.9525226661295
"187",63.7520854833182
"188",48.1276400144151
"189",51.461463870681
"190",46.6179769284266
"191",61.0145121514545
"192",36.3632375874441
"193",41.6580249255315
"194",66.0881944040135
"195",28.8616622237039
"196",66.2557787483669
"197",45.6646576781416
"198",42.8357585774727
"199",37.2969881321429
"200",49.5028936261513
"201",38.2708772413619
"202",53.6204371132325
"203",47.574336638832
"204",48.8371012689185
"205",61.3284565763284
"206",49.0521601209176
"207",44.3583047308004
"208",56.183773626322
"209",55.495844267767
"210",46.7685653045528
"211",35.9551355333308
"212",43.1224769029167
"213",40.0127360526332
"214",53.024395064987
"215",35.4794668119341
"216",54.0297007209267
"217",50.291112961483
"218",37.4337796713833
"219",30.9938214806746
"220",50.2854854144099
"221",38.5322829395078
"222",42.0773755369006
"223",51.4695086008078
"224",51.9454714403548
"225",22.7889278278595
"226",39.4582131587321
"227",55.6076374503005
"228",47.4185113235955
"229",59.141597381801
"230",49.7924629980124
"231",46.8605003479673
"232",56.1195514769209
"233",67.2190839958762
"234",71.9702710857971
"235",44.7945015790328
"236",47.334360142252
"237",48.7229111775874
"238",52.0017694078184
"239",52.0027492652001
"240",48.4082153088594
"241",38.5329887187628
"242",33.0714326772827
"243",37.9505485600097
"244",39.974253576671
"245",35.2658975494764
"246",52.7997253133067
"247",45.6750466505257
"248",55.6612801204038
"249",43.7047344695497
"250",41.5661654133038
"251",37.9134264540733
"252",47.2944688928012
"253",51.577841472663
"254",63.9918562671
"255",58.8935100913837
"256",51.3845451410914
"257",44.349508749888
"258",38.916250950168
"259",45.6449113240927
"260",36.6743550630244
"261",53.988794648975
"262",43.9186023609083
"263",39.7706724199869
"264",41.9688891674934
"265",54.0698085426296
"266",49.3700498639949
"267",37.668770621768
"268",34.2657552653998
"269",38.9924347221779
"270",46.246956864315
"271",61.3535008133008
"272",40.7900775876726
"273",54.1475528353704
"274",55.2183941077786
"275",64.9447548849494
"276",61.7192046762739
"277",54.4366518854298
"278",43.2278116761296
"279",63.5226569135596
"280",61.6494522961633
"281",55.5475951725502
"282",51.6223669932295
"283",29.537551644798
"284",61.9077331178122
"285",50.1739357547978
"286",53.2193045659962
"287",62.6563012366227
"288",36.3181197162975
"289",41.4624865213171
"290",57.1626682423741
"291",47.2789640464009
"292",58.3599431927199
"293",54.4526963563406
"294",56.0764854034938
"295",50.9504029058549
"296",48.7981447831688
"297",37.6749187121213
"298",42.4252941129748
"299",40.3694524842559
"300",33.9247046844025
"301",39.0636866963635
"302",51.2914025149699
"303",66.7152965961911
"304",58.2489901052458
"305",46.5121444357574
"306",54.7009881037358
"307",52.4261206773809
"308",51.611552738223
"309",46.9268796393691
"310",46.0953680789438
"311",33.9046161463741
"312",39.2611459902382
"313",35.4580520971771
"314",60.8132789485642
"315",42.2321342949322
"316",53.4801462626594
"317",28.5030899913097
"318",52.6769055774259
"319",44.2520705424801
"320",46.7788203593948
"321",47.0773629924105
"322",40.4941284163985
"323",26.3258791317463
"324",35.475979008131
"325",48.0010991069455
"326",51.5274774082203
"327",50.3013263765897
"328",46.4709678932092
"329",45.9576427290417
"330",42.4738842245404
"331",70.7314209395843
"332",46.2575490871816
"333",55.7838517724902
"334",42.9150142611564
"335",27.2487449739333
"336",42.1559932609341
"337",54.9209783394029
"338",41.1452789579928
"339",35.2924945049134
"340",58.5360774533561
"341",40.6760292088206
"342",30.9351667272683
"343",32.577114182391
"344",33.7195637787529
"345",49.3857705893219
"346",31.3870795154883
"347",57.7833835305551
"348",25.4631233627109
"349",45.4058941145533
"350",42.5891571343994
"351",39.2952104593169
"352",51.2676841464767
"353",54.047426763636
"354",44.3721237774576
"355",29.8467029432684
"356",49.4286483410405
"357",49.9134718345253
"358",54.2682755062589
"359",65.674025334987
"360",43.9790400794603
"361",36.5349963521485
"362",43.3058546482937
"363",51.7134280419239
"364",34.7385507168143
"365",32.6068681606429
"366",30.5878453028486
"367",42.3725497904304
"368",54.6759848345775
"369",46.7349829813485
"370",42.6777496471185
"371",40.4883989685146
"372",49.8846188261044
"373",50.6291979267201
"374",41.4437388650102
"375",53.1830759743654
"376",49.0834156349597
"377",45.8431441591633
"378",57.4496070710288
"379",52.1091379035708
"380",56.5603832420384
"381",44.4246969763677
"382",53.7453912922534
"383",47.6032279520803
"384",51.2981049136017
"385",51.7514080392269
"386",32.7956089669568
"387",55.8211939653944
"388",72.2551930313848
"389",56.1092228734255
"390",39.1919942948263
"391",39.4391791727162
"392",38.6455966575548
"393",48.9466453756198
"394",34.8918166833938
"395",47.8146284550034
"396",56.5638512341501
"397",59.5661627661635
"398",54.1622765069857
"399",70.2324221295732
"400",45.7741108061166
"401",53.10446073277
"402",40.1872373071592
"403",35.4575962367832
"404",64.3147327821087
"405",31.0040192963221
"406",45.2178356311857
"407",38.8068001968864
"408",48.9882537539881
"409",64.716963002134
"410",33.4514181470136
"411",34.4256318589786
"412",42.535049244713
"413",52.7558401534525
"414",52.6085347742777
"415",39.4590270124457
"416",44.6103871778217
"417",29.5011773525622
"418",42.1154575137578
"419",60.8645363795439
"420",45.4594757219621
"421",41.6284899960395
"422",36.8034224567442
"423",70.1825747116388
"424",52.1852315742017
"425",42.980020839041
"426",62.3390767249329
"427",45.0030814527329
"428",54.003912707244
"429",51.8053481189298
"430",33.303983942008
"431",63.4050640179064
"432",34.9638565948473
"433",65.8798271986611
"434",69.5200148904286
"435",42.6258794457313
"436",28.0573159711414
