"Y","E1","E2","E3","E4","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20"
9433347.80659178,8.4218477117829,8.16427942714654,8.03654099744745,6.53010940854438,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1
6870204.6055329,5.08586821309291,5.65254853153601,7.34258547192439,6.03160546789877,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
7097150.90354331,9.87677347729914,6.71778481267393,5.79753868305124,5.4722902958747,0,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0
8195617.02634343,5.20151781151071,8.70951100531965,6.30551374470815,6.44242815882899,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1
7088189.6916876,9.94437455502339,5.21181072085164,9.50422888202593,11.0016255127266,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
4173776.85660805,7.72897623456083,8.4689828811679,10.7060368957464,6.12674575601704,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
6332706.06616836,6.89910428901203,10.0667956268881,7.91773834521882,7.30135852843523,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1
20586686.3571494,10.0370795791969,11.7905239362735,6.43820125772618,8.47169813583605,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
5757648.82930247,5.48366689495742,9.33761366549879,8.48120430600829,7.47479081409983,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1
4386320.31217485,11.5444388813339,5.01056301197968,7.68987249117345,7.28863831679337,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
4863047.56289247,6.19502053060569,11.2057228658814,10.7853380597662,7.55091582657769,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1
19044800.1316179,9.79492400051095,7.06956630456261,11.1774034730624,10.0355981120374,1,0,1,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1
10566153.7984613,8.13875872897916,7.8754221543204,10.6681467823219,10.6692369375378,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9243515.4152116,11.3098075857852,8.1554706285242,7.83722833311185,5.68245309987105,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5529053.08947806,6.43488549953327,8.73406918230467,10.4895573707763,5.78465453651734,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,1
9924549.83812889,10.8821871366818,8.22817689809017,11.0111372682732,11.9214657843113,1,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1
7296652.52384012,10.3227549358271,7.03946792357601,5.43756182212383,6.51120704645291,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1
12855934.649551,11.7346673328429,6.36467621498741,9.12939389212988,6.55094457906671,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1
23769542.9057348,5.5485168278683,9.5168379500974,7.0794780573342,7.44937654281966,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1
17397073.6335592,11.9569027514663,11.4628910212778,11.7826876561157,9.5255769030191,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
15157414.0630684,6.70624321931973,9.98065473767929,6.31556552136317,5.3915716658812,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1
23890294.181661,8.68773702904582,6.6665903783869,10.1837952299975,10.9786868693773,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1
10352369.7037269,6.91571889840998,6.89197712321766,11.6419526340906,11.6179129206575,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1
21177528.0288271,5.66951029794291,10.0598389201332,11.5135946287774,9.14949136297219,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0
27469555.0536724,11.9407885619439,11.4855369890574,7.8447716019582,11.564043977065,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0
6098954.62500149,10.0001611823682,6.77420763485134,6.88817092613317,6.18167278822511,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
5634502.80211562,7.8445994365029,6.71097079454921,9.16705465316772,8.51304036425427,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
16703071.2488124,6.82671780046076,10.3292317534797,6.83794632111676,10.2660012075212,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1
29040517.313264,9.91378183988854,11.369981383672,8.08719277847558,8.52036014315672,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,0,1
24608051.6437446,7.33227084204555,11.0154263728764,10.2277857619338,8.73614116385579,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,0,1,1,1,1
4047540.09927066,11.8753356726374,5.00743697234429,5.65800710138865,5.16097480827011,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
47178984.1765106,7.19397266325541,10.4679767622147,5.92758827609941,11.9456260779407,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,0,0,1
10610093.0336547,9.54541869019158,6.91706481878646,6.04619009769522,5.02392457192764,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
5235714.64385301,5.83616354945116,10.0803466478828,10.8480431388598,8.15708835795522,1,1,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1
26920526.6906226,6.28321113972925,10.9804735078942,9.2106391901616,8.40706311678514,1,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1
43372450.4999618,11.9229762817267,11.9657397149131,8.4451253451407,9.74650630890392,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
10908247.4620377,9.97684796364047,11.8292059015948,10.7437739842571,5.29272297932766,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1
1896926.38580801,8.2515245124232,8.68209034111351,9.76796501548961,5.25241718254983,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0
32404549.9028974,6.65103951469064,10.045293528121,9.31674701510929,8.19693950656801,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1
28488725.5408872,8.23126550088637,11.7845414869953,6.37027428881265,11.3040716932155,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
10215260.0519946,9.97488847351633,10.2349992541131,7.17266343999654,5.31523459986784,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1
7243293.12226753,5.59229286317714,9.36603267095052,9.32436163560487,8.00313055631705,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
9816378.88298763,11.7324192270171,8.05727403075434,7.46433782600798,5.65367475780658,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1
7982038.56618353,11.113363706274,8.41147519578226,5.03456431720406,5.04519355180673,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1
5117381.89295596,5.01184994122013,5.08515197318047,8.7013431165833,8.08850155537948,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1
14188001.4294208,10.4597233668901,11.1030995843466,9.58334665279835,8.9015757101588,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
13050290.204627,10.2584613172803,8.71389730717055,11.5045561534353,9.64934207149781,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
10194207.6723215,7.9650738008786,10.2038144990802,11.1920910908375,5.62617598148063,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0
