"ID","IV"
45,NA
295,NA
284,8.86407654070668
77,1.94396612029421
53,5.90255778916263
551,4.1488637385383
162,7.12188368175957
48,4.7469803822931
476,8.16128352882884
340,1.84450542080995
402,7.59059016306952
171,5.85525594302566
157,6.21532127089778
478,7.96984535017024
624,1.42687797054373
322,2.09913743571949
370,3.36127006083635
479,9.0592348932879
231,7.41416933918027
342,7.28716620569605
429,10.0738222457899
100,4.71362348918177
593,5.95416563166777
415,9.08144668895582
181,5.54361325585936
601,4.22097990117092
336,10.1733123871121
540,3.46010647494397
278,7.14376116605209
374,7.24178296807842
558,7.72786313003092
304,4.49112250841857
316,3.19294278607361
136,7.73865930792542
88,2.23819032904586
22,NA
423,2.30161124223826
531,6.38052308695252
131,6.63356338796611
385,6.76369889107285
31,5.22779720958542
221,6.42161387594357
158,8.33234792579345
631,8.35670132501577
108,7.04186021759073
365,9.25547601557342
334,5.59148955633661
228,NA
70,5.2736607160745
420,6.85712325422383
268,4.37171379359474
592,8.07581786711971
472,8.34845139360708
242,6.74358421779477
378,6.34466355955443
197,4.74727181113566
456,5.18462178785784
160,6.87487667720117
283,5.0575637261128
343,NA
511,5.13623027963364
421,4.30947944538383
403,8.14185485520844
464,3.79264653344762
470,5.28729056373524
321,7.01968127342077
613,5.54850082776842
72,3.03414542000857
102,5.94537958691949
418,4.9208888502205
440,9.95368666447585
392,2.968822788851
302,3.95220279299921
38,5.97646425990907
256,5.84992661293558
585,7.70138060654086
524,6.80885406439513
159,5.59817773505151
347,4.55217091527996
518,5.97446167501292
47,3.49152963362775
290,6.39945025524356
414,6.174332384387
272,3.95096895890469
437,8.84266067795268
633,4.2687925257348
244,6.06362020824888
60,NA
247,4.00750045872276
516,6.39354500387734
6,3.78130596100375
167,6.84938027812937
192,6.00992512199759
237,9.5361660577709
271,6.24699381057459
643,5.63730045611499
201,5.53457122794811
514,5.39650007670702
487,5.01645402662183
552,7.54565251667935
490,6.3340684955965
282,7.19741090436668
648,5.31071992301303
191,8.90585259894086
639,6.6506901969781
512,5.04846991779337
206,7.04579032459624
317,4.26993440618912
550,10.2044773017068
449,5.85283112889936
353,7.81494822518671
569,8.131954001138
400,3.3921854210556
314,5.77907383868097
193,6.64220079562746
519,11.235242785282
629,5.2715475598514
199,2.17189305798651
626,3.20139861883553
409,3.5062484862213
135,5.26206540998457
239,5.36495776746292
323,6.86989697343109
161,4.79143310320079
258,8.9495019738156
436,3.07159636211928
97,8.59544770319703
484,5.76314766503214
215,3.60647042059234
425,8.37928742066909
428,3.77714698091571
536,5.99320398269761
81,8.51307200024106
513,6.58883960009549
94,5.40544259968297
234,6.3271932035481
305,3.19699975849846
586,7.33722676547811
35,7.42333620611128
89,5.16598988821131
235,5.76626214516108
344,4.64548773627511
627,8.66094145948279
522,5.16988663288903
36,3.22222133555777
435,6.70675901836531
